Friendly name,prefix,body,description
addequip,#addequip,~#addequip~,Adds magic items to a commander. Equipment level is from 1 to 4 and corresponds to item level from trinkets to very powerful items. Use the value 9 for equipment level and a bracketed [item name] in the #msg text to add a specific magic item. An item is not guaranteed at equipment level 1. The command also gives the commander gems appropriate to his magic paths.
addforeigncom,#addforeigncom,~#addforeigncom~,This commander can only be recruited in provinces with no fort.
addforeignunit,#addforeignunit,~#addforeignunit~,This unit can only be recruited in provinces with no fort.
addgod,#addgod,~#addgod~,Adds this monster as a god to the nations list of valid gods. The monster must have the #startdom and #pathcost commands set. If the monster does not have a defined homerealm this command is the only way to add it as a god.
addname,#addname,~#addname~,Adds a name to the selected nametype.
addrandomage,#addrandomage,~#addrandomage~,Makes the monster start 1 to years (a random die) older.
addreccom,#addreccom,~#addreccom~,Adds a commander to the recruitment list.
addrecunit,#addrecunit,~#addrecunit~,Adds a unit to the recruitment list.
addsite,#addsite,~#addsite~,"Adds a new, already discovered site to the province. Use -1 for site number to place [sitename] instead. [Sitename] must be added to event message text in brackets."
addupkeep,#addupkeep,~#addupkeep~,Upkeep will be calculated as if the unit cost this much more to recruit.
adventureruin,#adventureruin,~#adventureruin~,A commander who enters the ruin has a chance to discover gold gems magic items or other rewards. Those who fail may fall victim to lethal traps or bloodthirsty monsters.
aiairnation,#aiairnation,~#aiairnation~,Hint to AI that Air magic is used a lot in this nation and that an air god is probably good.
aiastralnation,#aiastralnation,~#aiastralnation~,Hint to AI that Astral magic is used a lot in this nation and that an astral god is probably good.
aiawake,#aiawake,~#aiawake~,When playing this nation the AI will have this much extra chance of choosing an awake pretender.
aibadlvl,#aibadlvl,~#aibadlvl~,The spell AI will never choose this spell if is is level or higher in the required magic path.
aibloodnation,#aibloodnation,~#aibloodnation~,Hint to AI that Blood magic is used a lot in this nation and that a blood god is probably good.
aicheapholy,#aicheapholy,~#aicheapholy~,Informs the AI that this nation has cheap expendable sacred units. So a Charge Body bless effect or something similar could be appropriate. Marignon and Mictlan has this hint.
aideathnation,#aideathnation,~#aideathnation~,Hint to AI that Death magic is used a lot in this nation and that a death god is probably good.
aiearthnation,#aiearthnation,~#aiearthnation~,Hint to AI that Earth magic is used a lot in this nation and that a earth god is probably good.
aifirenation,#aifirenation,~#aifirenation~,Hint to AI that Fire magic is used a lot in this nation and that a fire god is probably good.
aigoodbless,#aigoodbless,~#aigoodbless~,Use to increase the chance of creating a powerful bless. 100=only do gods with a powerful bless effects for this nation.
aiholdgod,#aiholdgod,~#aiholdgod~,When playing this nation the AI will never leave the home province with the pretender.
aiholyranged,#aiholyranged,~#aiholyranged~,Informs the AI that this nation has sacred ranged units. So a Wind Guide bless or something similar could be appropriate.
aimusthavemag,#aimusthavemag,~#aimusthavemag~,Makes AI pretender have at least 3 in this magic school. Only one of these possible per nation.
ainaturenation,#ainaturenation,~#ainaturenation~,Hint to AI that Nature magic is used a lot in this nation and that a nature god is probably good.
ainocast,#ainocast,~#ainocast~,The spell AI will never select this spell unless it has been scripted. Use this for spells like Returning that should normally never be cast.
ainorec,#ainorec,~#ainorec~,Will tell the AI to never recruit this monster.
airattuned,#airattuned,~#airattuned~,Chance of getting a bonus level of magic when transformed into this being.  In place of [path] insert the name of the magic path in all lower case for the correct command (#fireattuned #airattuned etc).
airblessbonus,#airblessbonus,~#airblessbonus~,Gods of this nation will get extra bless design points of this type.
airboost,#airboost,~#airboost~,One commander determined by target requirements or the monster number may gain +1 Air magic.
airrange,#airrange,~#airrange~,All Air rituals cast in this province have their range increased by
airshield,#airshield,~#airshield~,The monster gains the airshield special ability.
aisinglerec,#aisinglerec,~#aisinglerec~,Will tell the AI to only recruit a single one of these per batch.
aispellmod,#aispellmod,~#aispellmod~,This modifies the spell AI to (dis)like this spell. Usually there is no need for this command. A value of -100 makes it never be cast and a value of 100 makes it twice as likable for the spell AI.
aiwaternation,#aiwaternation,~#aiwaternation~,Hint to AI that Water magic is used a lot in this nation and that a water god is probably good.
alchemy,#alchemy,~#alchemy~,The monster is more efficient when casting spells the converts gems into gold. A typical Alchemist has a value of 50.
allies,#allies,~#allies~, These two players will not attack each other. This command will only affect computer players.
allowedplayer,#allowedplayer,~#allowedplayer~, Makes this nation one of the allowed nations to play on this map. Use this command multiple times or the map will only be able to host one player. Nation numbers can be found in the tables below. This command can be used to make era specific maps.
allrange,#allrange,~#allrange~,All magic rituals cast in this province have their range increased by
allret,#allret,~#allret~,Extra chance of returning from any of the other planes a monster can be banished to.
almostliving,#almostliving,~#almostliving~,Unit will require not undead leadership to lead even though it is undead. This command must come after the #undead command.
almostundead,#almostundead,~#almostundead~,Unit will require undead leadership to lead even though it isnt an undead or a demon.
altcost,#altcost,~#altcost~,All rituals of the Alteration school cast in this province cost
ambidextrous,#ambidextrous,~#ambidextrous~,This monster gets reduced attack penalty when using two weapons. A normal value is 2 or 3.
ammo,#ammo,~#ammo~,This is the number of times that this weapon can be fired in combat. The default value is 12. The maximum value is 30.
amphibian,#amphibian,~#amphibian~,This monster can travel both under and over water.
animal,#animal,~#animal~,Indicates that the monster is an animal. Animals are affected by the Animal Awe power. Animals receive a morale bonus when led to combat by a beast master.
animalawe,#animalawe,~#animalawe~,Bonus can be a value of one or more. A bonus of one means that animals with a morale of 11 have about 50% chance of daring to strike. A bonus of 10 means that you need a morale of 20 to get a 50% chance. Standard value is 1 (for Awe(+1) ).
aoe,#aoe,~#aoe~,Sets the area of effect for this spell. Add 1000 to this value to give larger areas to more powerful casters. E.g. 1001 means area = 1+1/level of caster (area would be 2 for a level 1 mage). A value of 666 means that the entire battlefield is affected. 663 means that 50% of all squares are affected 665 = 25% 664 = 10% 662 = 5%.
ap,#ap,~#ap~,The number of action points when the monster is unencumbered. This should be about 12 for a human 20 for a knight or 25 for light cavalry. Action points is the same as combat speed.
aquatic,#aquatic,~#aquatic~,This monster can only live under water.
arena,#arena,~#arena~,Opens the Area Death Match for competitors. Players will be able to send heroes to the arena this turn.
armor,#armor,~#armor~,Defines what kind of armor if any the units gets when it uses the item. Use #armor 0 to clear an existing armor from a copied item.
armornegating,#armornegating,~#armornegating~,The weapon is armor negating. Armor is completely ignored when determining damage.
armorpiercing,#armorpiercing,~#armorpiercing~,The weapon is armor piercing. Armor protection is halved when determining damage.
assassin,#assassin,~#assassin~,"An assassin of this type attacks a random commander in the province. If a target requirement for the event is set, the assassin attacks that commander."
assowner,#assowner,~#assowner~,The following assassins created by this event will be owned by this nation.
astralattuned,#astralattuned,~#astralattuned~,Chance of getting a bonus level of magic when transformed into this being.  In place of [path] insert the name of the magic path in all lower case for the correct command (#fireattuned #airattuned etc).
astralblessbonus,#astralblessbonus,~#astralblessbonus~,Gods of this nation will get extra bless design points of this type.
astralboost,#astralboost,~#astralboost~,One commander determined by target requirements or the monster number may gain +1 Astral magic.
astralrange,#astralrange,~#astralrange~,All Astral rituals cast in this province have their range increased by
att,#att,~#att~,The item grants an attack bonus.
autobless,#autobless,~#autobless~,This bearer of this item will be blessed automatically if it is sacred. Like the Flask of Holy Water magic item.
autocompete,#autocompete,~#autocompete~,The bearer of this item will automatically compete in the Arena deathmatch.
autodisgrinder,#autodisgrinder,~#autodisgrinder~,The monster automatically heals disease from
autodishealer,#autodishealer,~#autodishealer~,The monster automatically heals disease from
autohealer,#autohealer,~#autohealer~,The monster automatically heals
autospell,#autospell,~#autospell~,Makes the item cast this spell automatically in battle. It will only be cast once unless #autospellrepeat is also used.
autospellrepeat,#autospellrepeat,~#autospellrepeat~,Makes an item cast its autospell every round of combat.
autoundead,#autoundead,~#autoundead~,The nations Dominion automatically spawns undead like Ashen Empire Ermor.
autumnshape,#autumnshape,~#autumnshape~,Changes into another monster when this season is active.
awe,#awe,~#awe~,Bonus can be a value of one or more. A bonus of one means that people with a morale of 11 have about 50% chance of daring to strike. A bonus of 10 means that you need a morale of 20 to get a 50% chance. Standard value is 1 (for Awe(+1) ). 24
badindpd,#badindpd,~#badindpd~,This nation will not have national PD troops in any forted province except the home province.
banefireshield,#banefireshield,~#banefireshield~,Anyone striking this monster will take
banished,#banished,~#banished~,One commander determined by target requirements is banished to another plane.  -11 = The Void -12 = Inferno -13 = Kokytos
barkskin,#barkskin,~#barkskin~,The item automatically applies the Barkskin spell to the bearer like the Barkskin Amulet.
batmap,#batmap,~#batmap~, Sets the battleground that fights take place in for the current province. You can use the special name  empty  for no battleground
batstartsum1,#batstartsum1,~#batstartsum1~,Summons x monsters at start of battle.
batstartsum1d3,#batstartsum1d3,~#batstartsum1d3~,Summons 1d3 monsters at start of battle.
batstartsum1d6,#batstartsum1d6,~#batstartsum1d6~,Summons x monsters at start of battle.
batstartsum2,#batstartsum2,~#batstartsum2~,Summons x monsters at start of battle.
batstartsum2d6,#batstartsum2d6,~#batstartsum2d6~,Summons x monsters at start of battle.
batstartsum3,#batstartsum3,~#batstartsum3~,Summons x monsters at start of battle.
batstartsum3d6,#batstartsum3d6,~#batstartsum3d6~,Summons x monsters at start of battle.
batstartsum4,#batstartsum4,~#batstartsum4~,Summons x monsters at start of battle.
batstartsum4d6,#batstartsum4d6,~#batstartsum4d6~,Summons x monsters at start of battle.
batstartsum5,#batstartsum5,~#batstartsum5~,Summons x monsters at start of battle.
batstartsum5d6,#batstartsum5d6,~#batstartsum5d6~,Summons x monsters at start of battle.
batstartsum6d6,#batstartsum6d6,~#batstartsum6d6~,Summons x monsters at start of battle.
batstartsum7d6,#batstartsum7d6,~#batstartsum7d6~,Summons x monsters at start of battle.
batstartsum8d6,#batstartsum8d6,~#batstartsum8d6~,Summons x monsters at start of battle.
batstartsum9d6,#batstartsum9d6,~#batstartsum9d6~,Summons x monsters at start of battle.
battlesum1,#battlesum1,~#battlesum1~,Summons x monsters at start of battle.
battlesum2,#battlesum2,~#battlesum2~,Summons x monsters at start of battle.
battlesum3,#battlesum3,~#battlesum3~,Summons x monsters at start of battle.
battlesum4,#battlesum4,~#battlesum4~,Summons x monsters at start of battle.
battlesum5,#battlesum5,~#battlesum5~,Summons x monsters at start of battle.
beam,#beam,~#beam~,Beam weapon like dragon breath.
beartattoo,#beartattoo,~#beartattoo~,Magic tattoo like the units of Marverni and Sauromatia have.
beastmaster,#beastmaster,~#beastmaster~,All animals under the command of this monster have their morale increased by
beckon,#beckon,~#beckon~,Gives the monster the ability to lure enemy commanders like the Siren. The value indicates the difficulty of the morale check 10 is standard.
bers,#bers,~#bers~,The bearer of the item will go berserk as soon as battle begins. Berserker Pelt has this attribute.
berserk,#berserk,~#berserk~,This monster can go berserk like a barbarian chief or a minotaur. The bonus value will be added to strength and attack and subtracted from defense. It also increases encumbrance. A normal bonus value is 3.
bird,#bird,~#bird~,Use this for birds rocs couatl and similar things.
bless,#bless,~#bless~,The item automatically applies the Bless spell to the bearer like the Shroud of the Battle Saint.
blessairshld,#blessairshld,~#blessairshld~,Blessed troops get Air Shield like from an Air bless. An existing Air bless is augmented.
blessanimawe,#blessanimawe,~#blessanimawe~,Blessed troops get Animal Awe. An existing Animal Awe ability is augmented.
blessatt,#blessatt,~#blessatt~,Blessed troops get increased Attack skill.
blessawe,#blessawe,~#blessawe~,Blessed troops get Awe. An existing Awe ability is augmented.
blessbers,#blessbers,~#blessbers~,Will make unit go berserk when blessed.
blesscoldres,#blesscoldres,~#blesscoldres~,Blessed troops get increased Cold Resistance.
blessdarkvis,#blessdarkvis,~#blessdarkvis~,Blessed troops get Darkvision. An existing Darkvision ability is augmented.
blessdef,#blessdef,~#blessdef~,Blessed troops get increased Defense skill.
blessdtv,#blessdtv,~#blessdtv~,Blessed troops get undying like the undying bless effect. An existing undying bless is augmented.
blessfireres,#blessfireres,~#blessfireres~,Blessed troops get increased Fire Resistance.
blessfly,#blessfly,~#blessfly~,Will grant the unit flying when blessed.
blesshp,#blesshp,~#blesshp~,Blessed troops get increased Hit Points.
blessmor,#blessmor,~#blessmor~,Blessed troops get increased Morale.
blessmr,#blessmr,~#blessmr~,Blessed troops get increased Magic Resistance.
blesspoisres,#blesspoisres,~#blesspoisres~,Blessed troops get increased Poison Resistance.
blessprec,#blessprec,~#blessprec~,Blessed troops get increased Precision skill.
blessreinvig,#blessreinvig,~#blessreinvig~,Blessed troops get increased Reinvigoration like from a bless with the same name. An existing reinvigoration bless is augmented.
blessshockres,#blessshockres,~#blessshockres~,Blessed troops get increased Shock Resistance.
blessstr,#blessstr,~#blessstr~,Blessed troops get increased Strength.
blind,#blind,~#blind~,This monster has no eyes and cannot be affected by blindness.
blink,#blink,~#blink~,Like #teleport but only in combat.
bloodattuned,#bloodattuned,~#bloodattuned~,Chance of getting a bonus level of magic when transformed into this being.  In place of [path] insert the name of the magic path in all lower case for the correct command (#fireattuned #airattuned etc).
bloodblessbonus,#bloodblessbonus,~#bloodblessbonus~,Gods of this nation will get extra bless design points of this type.
bloodboost,#bloodboost,~#bloodboost~,One commander determined by target requirements or the monster number may gain +1 Blood magic.
bloodcost,#bloodcost,~#bloodcost~,All rituals of the Blood Magic school cast in this province cost
bloodnation,#bloodnation,~#bloodnation~,Makes the AI more likely to research blood magic and hunt for blood slaves. Mictlan has this hint.
bloodrange,#bloodrange,~#bloodrange~,All Blood rituals cast in this province have their range increased by
bloodvengeance,#bloodvengeance,~#bloodvengeance~,The monster has the Blood Vengeance ability. Any creature that hits the monster must make a magic resistance check or suffer the same damage that it inflicts on its target. Strength works identically to #damagerev.
blunt,#blunt,~#blunt~,The weapon does blunt damage. Monsters with Blunt Resistance only take half damage.
bluntres,#bluntres,~#bluntres~,The monster takes half damage from blunt weapons.
boartattoo,#boartattoo,~#boartattoo~,Magic tattoo like the units of Marverni and Sauromatia have.
bodyguard,#bodyguard,~#bodyguard~,The monsters morale is increased by
bodyguards,#bodyguards,~#bodyguards~, Gives bodyguards to the active commander. This command only affects independents. AI nations will ignore this command.
bonus,#bonus,~#bonus~,This is an intrinsic weapon that will not incur a multiple weapon penalty or get replaced when the commander is equipped with a magic weapon item.
bonusspells,#bonusspells,~#bonusspells~,The monster gets the Innate Spellcaster ability and can cast a number of spells every combat round in addition to its normal attacks. The spellcasting cannot be interrupted or prevented by adjacent enemy units unlike normal spellcasting. A maximum value of 4 can be used but no unit in the standard game has more than 3.
bossname,#bossname,~#bossname~,Name of the bands leader.
bowstr,#bowstr,~#bowstr~,Only one third of the weapon wielders strength will be added to the damage. This is normally used for missile weapons like bows.
brief,#brief,~#brief~,A very brief description for popups.
bringeroffortune,#bringeroffortune,~#bringeroffortune~,"A bringer of fortune has a percentage chance -100 to 100 to generate a good or bad (based on postitive or negative) random event in the province where it is located. Multiple units with this ability do stack, though the chances for each to generate an event are rolled independently, allowing for many such events to be generated each turn. This ability allows for bypassing the normal random event limit incurred by natural events."
bug,#bug,~#bug~,Monsters with this tag are summoned by the Swarm spell on land.
bugreform,#bugreform,~#bugreform~,This is a combat ability. When killed the monster will turn into a myriad of bugs and reform a little while later. The worm mage has this ability
buildcoastfort,#buildcoastfort,~#buildcoastfort~,The nation will build this type of fort in coastal provinces instead of the default one for their fortera.
buildfort,#buildfort,~#buildfort~,The nation will build this type of fort instead of the default one for their fortera.
builduwfort,#builduwfort,~#builduwfort~,The nation will build this type of underwater fort instead of the default one for their fortera.
carcasscollector,#carcasscollector,~#carcasscollector~,The monster can turn  These commands grant other uncategorized magic abilities related to spells item forging and other planes of existence.
castledef,#castledef,~#castledef~,Gives a castle defense bonus to the monster. The monster counts as
castleprod,#castleprod,~#castleprod~,Resource bonus for forts. Middle Era Ulm has 25 in this meaning they get 25% more resources in their fortified provinces than another nation with the same fort. Default is 0.
casttime,#casttime,~#casttime~,Set the casting time of a spell the casting time is 100 for a standard spell. There is usually no need to set this value as Dominions will automatically give certain spells like battle enchantments higher casting time to fit in with all the other spells.
cavecom,#cavecom,~#cavecom~,This commander can be recruited in cave provinces with or without fort. See the box below for all command names.
cavenation,#cavenation,~#cavenation~,Sets the nations preference for starting in cave provinces.  0 = never start in caves 1 = can start in caves 2 = always start in a cave
caverec,#caverec,~#caverec~,This unit can be recruited in cave provinces with or without fort. See the box below for all command names.
champprize,#champprize,~#champprize~,This item is given as a reward for winning the championship of the Arena deathmatch.
chaospower,#chaospower,~#chaospower~,The monster will get stat increases or decreases depending on the Turmoil scale.
chaosrec,#chaosrec,~#chaosrec~,The monster is cheaper to recruit if there are Turmoil scales in the province. The monster costs [
charge,#charge,~#charge~,The weapon will receive a damage bonus on its first attack. This bonus is proportional to the units maximum number of action points.
cheapgod20,#cheapgod20,~#cheapgod20~,Nation can choose this god for 20 design points less.
cheapgod40,#cheapgod40,~#cheapgod40~,Nation can choose this god for 40 design points less.
chestwound,#chestwound,~#chestwound~,The item bearer suffers a Chest Wound affliction which cannot be healed until the item is removed.
claim,#claim,~#claim~,The effects of magic site commands that appear after this command are not active until the throne is claimed by a god a disciple a prophet or a priest with Holy level 3 or higher.
claimthrone,#claimthrone,~#claimthrone~,Any throne in the province is claimed by the event owner.
cleanshape,#cleanshape,~#cleanshape~,The monster will heal all afflictions and hp if changing shape from secondshape to firstshape. This command must be applied to the monsters firstshape so for a werewolf the human form.
clear,#clear,~#clear~,Clears the attributes of the selected magic site.
clearallevents,#clearallevents,~#clearallevents~,This command removes all events from the game. You usually dont want to use this command.
clearallitems,#clearallitems,~#clearallitems~,All forgeable magic items are removed from the game.
clearallspells,#clearallspells,~#clearallspells~,All researchable spells are removed from the game.
cleararmor,#cleararmor,~#cleararmor~,Removes all armor from the active monster. Must be used before assigning new armor or armor assignment does not work correctly.
cleardef,#cleardef,~#cleardef~,Clears province defence units from the poptype.
cleargods,#cleargods,~#cleargods~,Clears the list of pretender gods for this nation. The #clearnation command also does this. This command does not clear homerealm but #clearnation does. Homerealm gods must be removed with the #delgod command.
clearmagic,#clearmagic,~#clearmagic~, Removes all magic skills from the active commander.
clearmercs,#clearmercs,~#clearmercs~,Removes all mercenary bands.
clearnation,#clearnation,~#clearnation~,Clears away all special settings for the nation like ideal cold reanimating priests underwater nation starting sites heroes pretender god list local defense fort type etc. The list of recruitable units and commanders is not cleared with this command.
clearrec,#clearrec,~#clearrec~,Clears the recruitment list of all units and commanders.
clearsites,#clearsites,~#clearsites~,Clears all start sites for this nation.
clearspec,#clearspec,~#clearspec~,Removes all special abilities from the active monster. The special abilities are stuff like Holy Fire Resistance Awe etc.
clearweapons,#clearweapons,~#clearweapons~,Removes all weapons from the active monster. Must be used before assigning new weapons or the monster will have both old and new weapons.
cluster,#cluster,~#cluster~,Assigns a cluster value to a throne. A throne is likely to appear together with other thrones of same cluster value when a map is created. For example the Throne of Spring and the Throne of Autumn have the same cluster value and if one of them appears on the map the other is also very likely to appear. Cluster value can be a number from 1 to 32000.
coastcom,#coastcom,~#coastcom~,This commander can be recruited in coast provinces with or without fort. See the box below for all command names.
coastcom1,#coastcom1,~#coastcom1~,Add a unit to the list of recruitable commanders for this nation in coastal forts only.
coastcom2,#coastcom2,~#coastcom2~,Add a unit to the list of recruitable commanders for this nation in coastal forts only.
coastnation,#coastnation,~#coastnation~,The nations capital is in a coastal land province.
coastrec,#coastrec,~#coastrec~,This unit can be recruited in coast provinces with or without fort. See the box below for all command names.
coastunit1,#coastunit1,~#coastunit1~,Add a unit to the list of recruitable units for this nation in coastal forts only.
coastunit2,#coastunit2,~#coastunit2~,Add a unit to the list of recruitable units for this nation in coastal forts only.
coastunit3,#coastunit3,~#coastunit3~,Add a unit to the list of recruitable units for this nation in coastal forts only.
code,#code,~#code~,Sets the event code of the current province (when planned for globals)
code2,#code2,~#code2~,Sets the eventcode of the current province (when executed for globals)
codedelay,#codedelay,~#codedelay~,"Sets the event code of the current province, but not immediately. It will be set after all events have been executed this turn."
codedelay2,#codedelay2,~#codedelay2~,"Sets the event code of the current province, but not immediately. It will be set after all events have been executed on the next turn."
cold,#cold,~#cold~,This monster is surrounded by cold like a Winter Wolf. The chill aura is
coldblood,#coldblood,~#coldblood~,Cold blooded like the lizards of Ctis.
coldincome,#coldincome,~#coldincome~,The effect cold and heat have on income. Default is 5.
coldpower,#coldpower,~#coldpower~,The monster will get stat increases or decreases depending on the Cold scale.
coldrec,#coldrec,~#coldrec~,Cold scale requirement for recruitment.
coldres,#coldres,~#coldres~,The item grants a Cold Resistance bonus.
coldsupply,#coldsupply,~#coldsupply~,The effect cold and heat has on supplies. Default is 10.
color,#color,~#color~,Each of the three colors is a number between 0.0 and 1.0. This color is used for the score graphs.
com,#com,~#com~,The nation that owns the event gains a commander of the specified type.
combatcaster,#combatcaster,~#combatcaster~,"A combat caster has a 50% chance to attempt to cast spells over trying to attack in melee. Additionally, they have a halved chance of being interrupted when casting spells, and do not suffer double armor encumbrance for casting spells."
command,#command,~#command~,Increases leadership value by this amount.  In addition to these commands a monster has magic leadership based on its magic paths (10 per level of Astral and 5 per level of any other magic than Death) These commands govern the level of undead leadership the monster possesses. Additionally undead leadership is increased by 15 points for each priest level if the priest serves a nation that can reanimate undead. The nations that have this benefit are Lanka Asphodel Sceleria Ermor (Ashen Empire) and Lemuria.
commander,#commander,~#commander~, Puts one of these commanders in the active province. The commander will have a random name according to its nametype. This commander will be the active commander.
commaster,#commaster,~#commaster~,The monster is automatically a communion master and does not need to cast the Communion Master spell to join a communion like the Trophimos Oppressors.
comname,#comname,~#comname~, Replaces the active commanders random name with this one.
computerplayer,#computerplayer,~#computerplayer~, This nation will always be controlled by the computer. Difficulty ranges from one to five. One is Easy AI. Two is Standard difficulty
comslave,#comslave,~#comslave~,The monster is automatically a communion slave and does not need to cast the Communion Slave spell to join a communion like the Theurg Communicant of Pythium in the middle era.
conjcost,#conjcost,~#conjcost~,All rituals of the Conjuration school cast in this province cost
constcost,#constcost,~#constcost~,All rituals of the Construction school cast in this province cost
constlevel,#constlevel,~#constlevel~,Level of construction required to forge this item. This level can be 02468 or 12 for items that cannot be forged. To disable an item set this value to 12.
copyarmor,#copyarmor,~#copyarmor~,Copies all stats from an existing armor. This command will overwrite all stats for the selected armor so it should be used as the first command after the #newarmor command.
copyitem,#copyitem,~#copyitem~,Copies all stats from an existing item to the current item.
copyspell,#copyspell,~#copyspell~,Copies all stats including name from the specified spell to the current spell.
copyspr,#copyspr,~#copyspr~,Copies the sprite of the specified magic item to the current magic item.
copystats,#copystats,~#copystats~,Copies all weapons armors stats magic skills and special abilities from an existing monster. The existing monster can be a monster that has been created previously in the mod. Copystats will overwrite all previous commands for the selected monster so it should be used as the first command after the #newmonster command.
copyweapon,#copyweapon,~#copyweapon~,Copies all stats from an existing weapon. This command will overwrite all stats for the selected weapon so it should be used as the first command after the #newweapon command.
corpseeater,#corpseeater,~#corpseeater~,The monster will eat this amount of corpses per month if possible and gain HP for it equal to the value in #deadhp.
corpselord,#corpselord,~#corpselord~,This monster will receive extra units when creating Corpse Men. This ability will not be visible when inspecting the monster.
crippled,#crippled,~#crippled~,The item bearer becomes Crippled. The affliction cannot be healed until the item is removed.
crossbreeder,#crossbreeder,~#crossbreeder~,The monster is skilled in crossbreeding and gets a bonus when using the Crossbreeding or Improved Crossbreeding ritual from the Blood magic school. The crossbreeder receives more units per casting and a higher chance of extraordinary results.
curse,#curse,~#curse~,Every unit in the province has this chance of being cursed.
cursed,#cursed,~#cursed~,The item is cursed and cannot be dropped.
curseluckshield,#curseluckshield,~#curseluckshield~,Grants the Fateweaving ability. Anyone striking the unit will have their fate rewritten and suffer from misfortunes for the next few rounds of battle. The effect can be resisted with a successful Magic Resistance check. The penetration bonus makes the effect harder to resist.
custommagic,#custommagic,~#custommagic~,Gives a chance for another magic skill to the active monster. The path mask must be a number from Table 18 or a sum of multiple masks from this table.
damage,#damage,~#damage~,Set the damage for this spell. Add 1000 to dmg to make the damage be variable with the level of the caster. Damage means damage for damage spells but it can also mean many other things for different spells. E.g. summoning spells use this value to determine which monster is summoned.
damagemon,#damagemon,~#damagemon~,Use this to set a spells damage to a monster if you dont know its number.
damagerev,#damagerev,~#damagerev~,The monster has the Damage Reversal ability. Any creature that hits the monster must make a magic resistance check or suffer the damage itself instead of harming the target. Strength must be at least one and strength minus one is the penalty to the MR check. Use strength 1 for standard damage reversal with no penalty.
darkpower,#darkpower,~#darkpower~,The monster will get stat increases in darkness. Only active in combat.
darkvision,#darkvision,~#darkvision~,Gives monster darkvision lessening penalties for fighting under darkness. Use value 100 for perfect darkvision.
deadhp,#deadhp,~#deadhp~,Number of HP gained per corpse eaten.
deathattuned,#deathattuned,~#deathattuned~,Chance of getting a bonus level of magic when transformed into this being.  In place of [path] insert the name of the magic path in all lower case for the correct command (#fireattuned #airattuned etc).
deathbanish,#deathbanish,~#deathbanish~,Whoever strikes the killing blow against this monster is banished to another plane. -11=The Void -12=The Inferno -13=Kokytos
deathblessbonus,#deathblessbonus,~#deathblessbonus~,Gods of this nation will get extra bless design points of this type.
deathboost,#deathboost,~#deathboost~,One commander determined by target requirements or the monster number may gain +1 Death magic.
deathcurse,#deathcurse,~#deathcurse~,When this monster dies the unit that strikes the killing blow is cursed.
deathdeath,#deathdeath,~#deathdeath~,The effect death and growth has on population death in 0.01% per month. Default is 20.
deathdisease,#deathdisease,~#deathdisease~,The monster bursts in a cloud of disease ridden fumes when it dies infecting its killer and anyone nearby with disease.
