record_id,effect_number,duration,ritual,object_type,raw_argument,modifiers_mask,range_base,range_per_level,range_strength_divisor,area_base,area_per_level,area_battlefield_pct
40,109,,,Weapon,-1,1.09951E+12,0,,,0,,
41,2,,,Weapon,10,1.09951E+12,0,,,0,,
42,2,,,Weapon,7,1.09951E+12,0,,,0,,
43,2,,,Weapon,0,1.09951E+12,0,,,0,,
44,2,,,Weapon,5,5.49756E+11,0,,,0,,
45,2,,,Weapon,4,5.49758E+11,0,,,0,,
46,2,,,Weapon,9,1.37439E+12,0,,,0,,
47,2,,,Weapon,20,1.09965E+12,0,,,0,,
48,2,,,Weapon,20,3.53219E+13,0,,,1,,
49,2,,,Weapon,8,2.74947E+11,0,,,0,,
50,7,,,Weapon,5,8320,0,,,0,,
51,7,,,Weapon,15,8320,0,,,0,,
52,7,,,Weapon,35,8320,0,,,0,,
53,46,,,Weapon,20,8320,0,,,0,,
54,46,,,Weapon,50,12416,0,,,0,,
55,2,,,Weapon,0,5.49892E+11,0,,,0,,
56,2,,,Weapon,13,5.49892E+11,0,,,0,,
57,2,,,Weapon,5,1.09958E+12,0,,,0,,
58,2,,,Weapon,999,3.53218E+13,0,,,1,,
59,2,,,Weapon,10,3.60293E+16,0,,,0,,
60,4,,,Weapon,2,0,0,,,5,,
61,2,,,Weapon,0,9.0072E+15,,,2,1,,
62,7,,,Weapon,20,8320,,,2,3,,
63,103,,,Weapon,0,9.0072E+15,0,,,0,,
64,11,,,Weapon,256,20480,0,,,0,,
65,2,,,Weapon,-2,2.75014E+11,0,,,0,,
66,2,,,Weapon,7,1.09958E+12,0,,,0,,
67,2,,,Weapon,0,4097,0,,,0,,
68,2,,,Weapon,-2,2.75012E+11,0,,,0,,
69,2,,,Weapon,2,2.74878E+11,0,,,0,,
70,2,,,Weapon,0,1.09951E+12,0,,,0,,
71,3,,,Weapon,33,671092736,0,,,0,,
72,2,,,Weapon,13,1.09951E+12,0,,,0,,
73,2,,,Weapon,8,3.60288E+16,0,,,5,,
74,2,,,Weapon,10,1.09951E+12,0,,,0,,
75,2,,,Weapon,8,1.09951E+12,0,,,0,,
76,2,,,Weapon,10,1.09951E+12,0,,,0,,
77,2,,,Weapon,6,1.09951E+12,0,,,0,,
78,2,,,Weapon,7,2.74878E+11,0,,,0,,
79,2,,,Weapon,5,2.74878E+11,0,,,0,,
80,2,,,Weapon,8,1.09951E+12,0,,,0,,
81,2,,,Weapon,5,5.49756E+11,0,,,0,,
82,2,,,Weapon,8,1.09951E+12,0,,,0,,
83,2,,,Weapon,10,2.74878E+11,0,,,0,,
84,2,,,Weapon,22,1.09951E+12,0,,,0,,
85,2,,,Weapon,-5,136314945,0,,,0,,
86,66,,,Weapon,12,142758016,100,,,0,,
87,2,,,Weapon,10,1.09951E+12,0,,,0,,
88,3,,,Weapon,110,128,0,,,0,,
89,2,,,Weapon,5,8.24634E+11,0,,,0,,
90,2,,,Weapon,0,5.49758E+11,0,,,0,,
91,3,,,Weapon,0,65,0,,,0,,
92,2,,,Weapon,-2,5.49758E+11,0,,,0,,
93,2,,,Weapon,14,9.0072E+15,,,2,3,,
94,2,,,Weapon,16,2.75081E+11,0,,,0,,
95,24,,,Weapon,13,1.09951E+12,0,,,0,,
96,2,,,Weapon,13,2.75081E+11,0,,,0,,
97,2,,,Weapon,8,1.37439E+12,0,,,0,,
98,11,,,Weapon,8,524288,0,,,0,,
99,2,,,Weapon,4,2.74878E+11,0,,,0,,
100,2,,,Weapon,1,5.49758E+11,0,,,0,,
101,104,,,Weapon,4,2.74878E+11,0,,,0,,
102,2,,,Weapon,7,1.37439E+12,0,,,0,,
103,2,,,Weapon,10,1.09951E+12,0,,,0,,
104,99,,,Weapon,999,4224,0,,,5,,
105,2,,,Weapon,3,5.49756E+11,0,,,0,,
106,2,,,Weapon,10,1.09951E+12,0,,,0,,
107,2,,,Weapon,16,1.37439E+12,0,,,0,,
108,2,,,Weapon,15,1.09951E+12,0,,,0,,
109,24,,,Weapon,6,2.74878E+11,0,,,0,,
110,104,,,Weapon,11,1.09951E+12,0,,,0,,
111,2,,,Weapon,10,1.09951E+12,0,,,0,,
112,2,,,Weapon,999,3.60288E+16,0,,,0,,
113,2,,,Weapon,15,1.09951E+12,0,,,0,,
114,134,,,Weapon,5,2176,0,,,1,,
115,2,,,Weapon,8,5.49756E+11,0,,,0,,
116,2,,,Weapon,-2,5.49758E+11,0,,,0,,
117,2,,,Weapon,4,2.74878E+11,0,,,0,,
118,11,,,Weapon,2,0,0,,,0,,
119,2,,,Weapon,37,5.49756E+11,0,,,0,,
120,2,,,Weapon,7,2.74878E+11,0,,,0,,
121,2,,,Weapon,19,2.75012E+11,0,,,0,,
122,2,,,Weapon,16,1.09951E+12,0,,,1,,
123,2,,,Weapon,5,2.74878E+11,30,,,0,,
124,2,,,Weapon,3,5.49756E+11,0,,,0,,
125,11,,,Weapon,0,0,0,,,1,,
126,2,,,Weapon,2,2.74947E+11,0,,,0,,
127,2,,,Weapon,-2,2.75012E+11,0,,,0,,
128,2,,,Weapon,3,5.49756E+11,0,,,0,,
129,2,,,Weapon,3,2.74878E+11,0,,,0,,
130,2,,,Weapon,25,5.49756E+11,0,,,0,,
131,2,,,Weapon,10,576,35,,,1,,
132,32,,,Weapon,12,1.09951E+12,0,,,0,,
133,33,,,Weapon,20,5.49756E+11,0,,,0,,
134,134,,,Weapon,3,2176,0,,,1,,
135,2,,,Weapon,12,2.74878E+11,0,,,0,,
136,109,,,Weapon,0,1.09951E+12,0,,,0,,
137,11,,,Weapon,64,0,0,,,0,,
138,109,,,Weapon,0,1.09951E+12,0,,,0,,
139,4,,,Weapon,10,128,0,,,0,,
140,109,,,Weapon,1,1.09951E+12,0,,,0,,
141,7,,,Weapon,0,9.0072E+15,10,,,0,,
142,2,,,Weapon,0,2097153,0,,,0,,
143,11,,,Weapon,1,536870912,0,,,0,,
144,2,,,Weapon,0,2.75014E+11,0,,,0,,
145,24,,,Weapon,5,64,27,,,5,,
146,2,,,Weapon,0,1.09951E+12,0,,,0,,
147,7,,,Weapon,15,134226048,,,1,1,,
148,2,,,Weapon,0,1.09951E+12,0,,,0,,
149,2,,,Weapon,14,1.09951E+12,0,,,0,,
150,11,,,Weapon,0,0,0,,,0,,
151,2,,,Weapon,-2,5.49756E+11,0,,,0,,
152,2,,,Weapon,12,4.61169E+18,50,,,0,,
153,2,,,Weapon,2,5.49758E+11,0,,,0,,
154,2,,,Weapon,8,4.61169E+18,40,,,0,,
155,2,,,Weapon,12,4.61169E+18,45,,,0,,
156,11,,,Weapon,0,131072,0,,,0,,
157,2,,,Weapon,5,5.49756E+11,0,,,0,,
158,2,,,Weapon,10,5.49756E+11,0,,,0,,
159,4,,,Weapon,10,128,0,,,0,,
160,3,,,Weapon,20,3.51845E+13,0,,,0,,
161,24,,,Weapon,12,4.61169E+18,45,,,0,,
162,2,,,Weapon,28,65,0,,,0,,
163,2,,,Weapon,3,5.49756E+11,0,,,0,,
164,2,,,Weapon,0,0,0,,,0,,
165,2,,,Weapon,7,5.49758E+11,0,,,0,,
166,2,,,Weapon,2,1.09951E+12,0,,,0,,
167,2007,,,Weapon,5,2105472,15,,,1,,
168,2,,,Weapon,12,2.74886E+11,35,,,0,,
169,2,,,Weapon,29,1.09951E+12,0,,,0,,
170,2,,,Weapon,15,1.09951E+12,0,,,0,,
171,2,,,Weapon,14,96,0,,,1,,
172,2,,,Weapon,0,5.49756E+11,0,,,0,,
173,2,,,Weapon,12,5.49756E+11,0,,,0,,
174,123,,,Weapon,10,128,0,,,0,,
175,2,,,Weapon,0,5.4989E+11,0,,,0,,
176,2,,,Weapon,9,5.635E+14,0,,,0,,
177,2,,,Weapon,3,2.75012E+11,0,,,0,,
178,2,,,Weapon,11,1.09951E+12,0,,,0,,
179,2,,,Weapon,13,1.09951E+12,0,,,0,,
180,2,,,Weapon,999,2.74886E+11,45,,,0,,
181,2,,,Weapon,10,1.09951E+12,0,,,0,,
182,2,,,Weapon,-3,5.49892E+11,0,,,0,,
183,2007,,,Weapon,5,8320,0,,,4,,
184,2,,,Weapon,20,5.49756E+11,0,,,0,,
185,2,,,Weapon,6,134219904,0,,,0,,
186,2,,,Weapon,12,1.09951E+12,0,,,0,,
187,2,,,Weapon,5,1.09951E+12,0,,,0,,
188,2,,,Weapon,5,5.49756E+11,0,,,0,,
189,28,,,Weapon,999,4224,0,,,0,,
190,2,,,Weapon,0,1.09951E+12,0,,,0,,
191,2,,,Weapon,15,1.09951E+12,0,,,0,,
192,2,,,Weapon,15,576,0,,,1,,
193,2,,,Weapon,13,2.74878E+11,0,,,0,,
194,2,,,Weapon,999,135552,0,,,0,,
195,2,,,Weapon,17,1.09951E+12,0,,,0,,
196,2,,,Weapon,10,3.60288E+16,0,,,5,,
197,2,,,Weapon,10,1.89151E+17,15,,,20,,
198,2,,,Weapon,10,96,0,,,0,,
199,2,,,Weapon,6,4.61169E+18,35,,,0,,
200,11,,,Weapon,256,4096,0,,,0,,
201,2,,,Weapon,5,2.74878E+11,0,,,0,,
202,2,,,Weapon,7,1.09951E+12,0,,,0,,
203,2,,,Weapon,-2,2.75012E+11,0,,,0,,
204,2,,,Weapon,22,1.09965E+12,0,,,0,,
205,2,,,Weapon,6,1.09951E+12,0,,,0,,
206,2,,,Weapon,25,2.7488E+11,70,,,0,,
207,2,,,Weapon,0,1.09951E+12,0,,,0,,
208,109,,,Weapon,2,1.09951E+12,0,,,0,,
209,2,,,Weapon,2,2.74878E+11,,,1,0,,
210,2,,,Weapon,5,4.61169E+18,30,,,0,,
211,2,,,Weapon,6,4.61169E+18,35,,,0,,
212,2,,,Weapon,9,4.61169E+18,45,,,0,,
213,2,,,Weapon,8,4.61169E+18,40,,,0,,
214,2,,,Weapon,12,4.61169E+18,50,,,0,,
215,2,,,Weapon,20,5.49756E+11,,,3,0,,
216,2,,,Weapon,8,96,0,,,0,,
217,2,,,Weapon,8,4.61169E+18,40,,,0,,
218,2,,,Weapon,10,5.49756E+11,0,,,0,,
219,11,,,Weapon,0,4096,0,,,1,,
220,2,,,Weapon,9,2.74878E+11,0,,,0,,
221,2,,,Weapon,12,3.53218E+13,0,,,0,,
222,3,,,Weapon,12,3.53218E+13,0,,,0,,
223,2,,,Weapon,2,1.09965E+12,0,,,0,,
224,7,,,Weapon,10,9.0072E+15,,,1,0,,
225,2,,,Weapon,15,9.0072E+15,10,,,1,,
226,2,,,Weapon,9,9.0072E+15,10,,,2,,
227,24,,,Weapon,5,96,0,,,0,,
228,3,,,Weapon,100,2.74878E+11,35,,,0,,
229,2,,,Weapon,0,1.37573E+11,0,,,1,,
230,2,,,Weapon,13,1.09965E+12,0,,,0,,
231,2,,,Weapon,-2,5.49756E+11,0,,,0,,
232,2,,,Weapon,10,2176,0,,,0,,
233,2,,,Weapon,7,5.49756E+11,0,,,0,,
234,2,,,Weapon,3,2.74947E+11,0,,,0,,
235,2,,,Weapon,1,2097153,0,,,0,,
236,2,,,Weapon,16,1.09965E+12,0,,,0,,
237,2,,,Weapon,18,1.09965E+12,0,,,0,,
238,2,,,Weapon,3,5.49756E+11,0,,,0,,
239,2,,,Weapon,-2,2.75014E+11,0,,,0,,
240,2,,,Weapon,0,3.57341E+13,0,,,0,,
241,104,,,Weapon,14,1.09951E+12,0,,,0,,
242,2,,,Weapon,4,2.74878E+11,0,,,0,,
243,2,,,Weapon,0,8407169,40,,,0,,
244,2,,,Weapon,15,1.09951E+12,0,,,0,,
245,2,,,Weapon,11,1.09951E+12,0,,,0,,
246,2,,,Weapon,12,1.09951E+12,0,,,0,,
247,2,,,Weapon,999,3.60288E+16,0,,,0,,
248,2,,,Weapon,0,1.09951E+12,0,,,0,,
249,2,,,Weapon,0,1.09951E+12,0,,,0,,
250,2,,,Weapon,0,1.09951E+12,0,,,0,,
251,2,,,Weapon,-2,2.75014E+11,0,,,0,,
252,2,,,Weapon,3,5.49758E+11,0,,,0,,
253,2,,,Weapon,5,1.09958E+12,0,,,0,,
254,11,,,Weapon,1,1.53122E+17,,,2,10,,
255,4,,,Weapon,4,128,0,,,10,,
256,2,,,Weapon,3,2.7488E+11,0,,,0,,
257,2,,,Weapon,6,1.09958E+12,0,,,0,,
258,2,,,Weapon,10,1.09958E+12,0,,,0,,
259,2,,,Weapon,10,1.09958E+12,0,,,0,,
260,2,,,Weapon,5,1.09958E+12,,,1,0,,
261,11,,,Weapon,0,4.53562E+12,0,,,0,,
262,11,,,Weapon,0,9.0116E+15,8,,,1,,
263,11,,,Weapon,0,4.53562E+12,0,,,0,,
264,2,,,Weapon,8,4.61169E+18,40,,,0,,
265,2,,,Weapon,4,8.24636E+11,0,,,0,,
266,2,,,Weapon,11,4.61169E+18,50,,,0,,
267,2,,,Weapon,8,2.74947E+11,0,,,0,,
268,2,,,Weapon,9,1.09958E+12,0,,,0,,
269,103,,,Weapon,0,3.53218E+13,0,,,1,,
270,103,,,Weapon,999,3.53218E+13,0,,,0,,
271,103,,,Weapon,10,9.0072E+15,0,,,0,,
272,2,,,Weapon,20,1.09951E+12,0,,,0,,
273,2,,,Weapon,1,136314945,0,,,0,,
274,28,,,Weapon,999,142757888,25,,,0,,
275,24,,,Weapon,15,1.09951E+12,0,,,0,,
276,24,,,Weapon,6,96,0,,,1,,
277,109,,,Weapon,2,1.09951E+12,0,,,0,,
278,2,,,Weapon,5,2.74878E+11,0,,,0,,
279,2,,,Weapon,2,2.30584E+18,,,1,0,,
280,2,,,Weapon,3,2.30584E+18,0,,,0,,
281,2,,,Weapon,5,2.30584E+18,0,,,0,,
282,66,,,Weapon,5,536875136,0,,,0,,
283,66,,,Weapon,10,536875136,0,,,0,,
284,2,,,Weapon,0,4225,0,,,0,,
285,67,,,Weapon,2,536875136,0,,,0,,
286,2,,,Weapon,0,1,0,,,0,,
287,2,,,Weapon,6,4.61169E+18,30,,,0,,
288,2,,,Weapon,7,1.64927E+12,0,,,0,,
289,73,,,Weapon,13,1.09951E+12,0,,,0,,
290,73,,,Weapon,6,2.74878E+11,0,,,0,,
291,2,,,Weapon,6,96,0,,,0,,
292,2,,,Weapon,6,3.51844E+13,0,,,0,,
293,2,,,Weapon,1,151680,0,,,0,,
294,67,,,Weapon,2,536875136,30,,,0,,
295,2,,,Weapon,10,2.74878E+11,0,,,0,,
296,74,,,Weapon,10,2.74878E+11,0,,,0,,
297,2,,,Weapon,4,2.74878E+11,0,,,0,,
298,2,,,Weapon,5,5.49756E+11,0,,,0,,
299,2,,,Weapon,7,1.09951E+12,0,,,0,,
300,2,,,Weapon,0,5.49758E+11,0,,,0,,
301,2,,,Weapon,0,5.49756E+11,,,1,0,,
302,11,,,Weapon,0,0,0,,,0,,
303,2,,,Weapon,5,4.61169E+18,35,,,0,,
304,2,,,Weapon,10,5.49756E+11,0,,,0,,
305,2,,,Weapon,12,96,0,,,1,,
306,67,,,Weapon,2,536871040,0,,,1,,
307,2,,,Weapon,9,1.09958E+12,0,,,0,,
308,2,,,Weapon,10,1.37446E+12,0,,,0,,
309,2,,,Weapon,1,2.74878E+11,0,,,0,,
310,2,,,Weapon,12,1.09951E+12,0,,,0,,
311,66,,,Weapon,10,142758016,100,,,0,,
312,2,,,Weapon,3,2.74878E+11,0,,,0,,
313,2,,,Weapon,14,2.75014E+11,0,,,0,,
314,2,,,Weapon,16,2.75014E+11,0,,,0,,
315,2,,,Weapon,5,2.74947E+11,0,,,0,,
316,7,,,Weapon,35,2105344,0,,,0,,
317,2,,,Weapon,1,5.49758E+11,0,,,0,,
318,2,,,Weapon,3,8.24634E+11,0,,,0,,
319,2,,,Weapon,2,1.09965E+12,0,,,0,,
320,2,,,Weapon,-2,5.49756E+11,0,,,0,,
321,2,,,Weapon,0,16481,30,,,0,,
322,2,,,Weapon,2,1.09965E+12,0,,,0,,
323,2,,,Weapon,2,1.09965E+12,0,,,0,,
324,7,,,Weapon,10,9.0072E+15,,,1,0,,
325,2,,,Weapon,-2,2.75014E+11,0,,,0,,
326,2,,,Weapon,3,5.49825E+11,0,,,0,,
327,2,,,Weapon,16,5.49756E+11,0,,,0,,
328,96,,,Weapon,20,128,0,,,0,,
329,11,,,Weapon,0,4224,0,,,0,,
330,2,,,Weapon,14,2.75012E+11,0,,,0,,
331,2,,,Weapon,0,1.09965E+12,0,,,0,,
332,2,,,Weapon,13,4.61169E+18,50,,,0,,
333,11,,,Weapon,0,0,0,,,0,,
334,2,,,Weapon,0,1.09965E+12,0,,,0,,
335,11,,,Weapon,0,0,0,,,0,,
336,2,,,Weapon,3,2.74878E+11,0,,,0,,
337,7,,,Weapon,75,8320,0,,,0,,
338,2,,,Weapon,20,5.49892E+11,0,,,0,,
339,2,,,Weapon,7,5.49756E+11,0,,,0,,
340,2,,,Weapon,14,1.09951E+12,0,,,0,,
341,2,,,Weapon,12,1.09951E+12,0,,,0,,
342,2007,,,Weapon,5,3.53219E+13,0,,,2,,
343,2,,,Weapon,4,1.09951E+12,0,,,0,,
344,24,,,Weapon,8,1.09951E+12,0,,,0,,
345,3,,,Weapon,0,1,0,,,0,,
346,2,,,Weapon,-5,5.49758E+11,0,,,0,,
347,2,,,Weapon,3,5.49825E+11,0,,,0,,
348,2,,,Weapon,0,134217793,0,,,1,,
349,11,,,Weapon,256,524288,0,,,1,,
350,2,,,Weapon,12,134217824,0,,,1,,
351,2,,,Weapon,3,2.74947E+11,0,,,0,,
352,2,,,Weapon,13,1.09965E+12,0,,,0,,
353,2,,,Weapon,16,5.49892E+11,0,,,0,,
354,2,,,Weapon,16,1.09965E+12,0,,,0,,
355,2,,,Weapon,0,3.54594E+13,0,,,0,,
356,2,,,Weapon,8,4.61169E+18,40,,,0,,
357,2,,,Weapon,3,2.77095E+11,0,,,0,,
358,2,,,Weapon,-4,2.75014E+11,0,,,0,,
359,2,,,Weapon,-2,2.75014E+11,0,,,0,,
360,2,,,Weapon,-3,5.49758E+11,,,1,0,,
361,2,,,Weapon,5,4.61169E+18,25,,,0,,
362,2,,,Weapon,4,1.09958E+12,,,1,0,,
363,2,,,Weapon,8,5.49825E+11,0,,,0,,
364,504,,,Weapon,255,5.29141E+13,0,,,1,,
365,2,,,Weapon,3,5.49756E+11,0,,,0,,
366,504,,,Weapon,255,3.53218E+13,0,,,0,,
367,600,,,Weapon,261,0,0,,,0,,
368,601,,,Weapon,261,8732557312,50,,,0,,
369,11,,,Weapon,2,142622720,50,,,0,,
370,11,,,Weapon,0,8732561408,50,,,0,,
371,103,,,Weapon,0,8732692609,50,,,1,,
372,2,,,Weapon,8,4.61169E+18,40,,,0,,
373,2,,,Weapon,2,2.7488E+11,0,,,0,,
374,2,,,Weapon,8,1.09951E+12,0,,,0,,
375,2,,,Weapon,11,1.09965E+12,0,,,0,,
376,2,,,Weapon,4,2.74947E+11,0,,,0,,
377,2,,,Weapon,5,1.37446E+12,0,,,0,,
378,2,,,Weapon,6,1.37446E+12,0,,,0,,
379,2,,,Weapon,8,1.09958E+12,0,,,0,,
380,2,,,Weapon,10,1.09958E+12,0,,,0,,
381,2,,,Weapon,5,1.09958E+12,0,,,0,,
382,2,,,Weapon,1,2.74947E+11,,,1,0,,
383,2,,,Weapon,-3,97,25,,,0,,
384,103,,,Weapon,5,9.0072E+15,0,,,0,,
385,103,,,Weapon,10,9.0072E+15,0,,,0,,
386,2,,,Weapon,0,5.49756E+11,0,,,0,,
387,3,,,Weapon,30,4096,0,,,0,,
388,2,,,Weapon,3,2.74878E+11,0,,,0,,
389,2,,,Weapon,5,2.74878E+11,0,,,0,,
390,2,,,Weapon,4,5.49756E+11,0,,,0,,
391,2,,,Weapon,11,2.74878E+11,0,,,0,,
392,2,,,Weapon,4,5.49756E+11,0,,,0,,
393,2,,,Weapon,16,128,0,,,0,,
394,11,,,Weapon,258,0,0,,,0,,
395,2,,,Weapon,12,1.09951E+12,0,,,0,,
396,2,,,Weapon,5,536875136,0,,,5,,
397,2,,,Weapon,0,5.49892E+11,0,,,0,,
398,2,,,Weapon,-10,2.75014E+11,0,,,0,,
399,2,,,Weapon,2,1.09965E+12,0,,,0,,
400,2,,,Weapon,2,3.60288E+16,0,,,0,,
401,2,,,Weapon,999,131456,0,,,0,,
402,24,,,Weapon,6,5.49756E+11,0,,,0,,
403,11,,,Weapon,128,142757888,25,,,0,,
404,2,,,Weapon,0,1.09965E+12,0,,,0,,
405,2,,,Weapon,5,4.61169E+18,25,,,0,,
406,2,,,Weapon,4,1.09958E+12,,,1,0,,
407,2,,,Weapon,1,2.74945E+11,,,1,0,,
408,2,,,Weapon,0,1.09965E+12,0,,,0,,
409,2,,,Weapon,12,576,0,,,1,,
410,2,,,Weapon,0,5.49756E+11,0,,,0,,
411,3,,,Weapon,10,128,0,,,1,,
412,2,,,Weapon,13,1.09951E+12,0,,,0,,
413,3,,,Weapon,20,128,0,,,0,,
414,11,,,Weapon,1,4224,0,,,0,,
415,2,,,Weapon,-5,1.09965E+12,0,,,0,,
416,11,,,Weapon,0,134221824,0,,,1,,
417,2,,,Weapon,22,1.09965E+12,0,,,0,,
418,2,,,Weapon,0,3.6284E+13,0,,,1,,
419,2,,,Weapon,-3,18561,40,,,0,,
420,2,,,Weapon,-3,5.49758E+11,0,,,0,,
421,11,,,Weapon,0,0,0,,,0,,
422,2,,,Weapon,0,2.30584E+18,55,,,0,,
423,2,,,Weapon,0,2.75014E+11,0,,,0,,
424,2,,,Weapon,8,5.49758E+11,,,3,0,,
425,2,,,Weapon,8,5.49756E+11,,,3,0,,
426,2,,,Weapon,11,1.37439E+12,0,,,0,,
427,2,,,Weapon,7,5.49758E+11,0,,,0,,
428,2,,,Weapon,4,5.49758E+11,0,,,0,,
429,2,,,Weapon,9,5.49758E+11,0,,,0,,
430,2,,,Weapon,16,1.37439E+12,0,,,0,,
431,11,,,Weapon,2,16384,0,,,1,,
432,11,,,Weapon,256,20480,0,,,1,,
433,2,,,Weapon,5,2.74878E+11,0,,,0,,
434,2,,,Weapon,10,4.61169E+18,45,,,0,,
435,11,,,Weapon,256,20480,0,,,3,,
436,107,,,Weapon,15,1.09951E+12,0,,,0,,
437,2,,,Weapon,12,2.75081E+11,0,,,0,,
438,2,,,Weapon,12,4.61169E+18,45,,,0,,
439,2,,,Weapon,9,4.61169E+18,40,,,0,,
440,97,,,Weapon,2,128,0,,,0,,
441,108,,,Weapon,-12,4096,0,,,0,,
442,108,,,Weapon,-11,4096,0,,,0,,
443,2,,,Weapon,0,5.49756E+11,0,,,0,,
444,2,,,Weapon,14,1.09951E+12,0,,,0,,
445,2,,,Weapon,8,2.74878E+11,0,,,0,,
446,2,,,Weapon,2,5.49758E+11,0,,,0,,
447,2,,,Weapon,14,2.75014E+11,0,,,0,,
448,2,,,Weapon,2,4224,0,,,0,,
449,103,,,Weapon,20,9.0072E+15,0,,,0,,
450,109,,,Weapon,1,3.6284E+13,0,,,0,,
451,2,,,Weapon,4,1.64927E+12,0,,,0,,
452,2,,,Weapon,3,2.7488E+11,,,1,0,,
453,11,,,Weapon,0,4.39818E+12,0,,,0,,
454,2,,,Weapon,9,1.37439E+12,0,,,0,,
455,2,,,Weapon,10,1.37439E+12,0,,,0,,
456,4,,,Weapon,4,9.0072E+15,40,,,5,,
457,2,,,Weapon,8,2.30584E+18,0,,,0,,
458,2,,,Weapon,8,96,0,,,0,,
459,24,,,Weapon,2,134217856,15,,,0,,
460,66,,,Weapon,5,268439688,0,,,0,,
461,122,,,Weapon,-5,136314881,0,,,1,,
462,2,,,Weapon,2,2.75012E+11,0,,,0,,
463,2,,,Weapon,10,4.61169E+18,40,,,0,,
464,2,,,Weapon,4,2.74878E+11,0,,,0,,
465,2,,,Weapon,9,5.49756E+11,0,,,0,,
466,107,,,Weapon,8,1.09951E+12,0,,,0,,
467,2,,,Weapon,10,2.74878E+11,0,,,0,,
468,66,,,Weapon,5,528520,0,,,0,,
469,2,,,Weapon,9,1.09951E+12,0,,,0,,
470,2,,,Weapon,6,5.49756E+11,0,,,0,,
471,2,,,Weapon,25,5.49758E+11,15,,,0,,
472,2,,,Weapon,12,1.09951E+12,0,,,0,,
473,2,,,Weapon,5,2.74878E+11,0,,,0,,
474,2,,,Weapon,7,1.09951E+12,0,,,0,,
475,2,,,Weapon,5,2.77025E+11,0,,,0,,
476,73,,,Weapon,8,1.09951E+12,0,,,0,,
477,2,,,Weapon,6,1.09951E+12,0,,,0,,
478,2,,,Weapon,3,2.74878E+11,0,,,0,,
479,2,,,Weapon,7,1.09951E+12,0,,,0,,
480,66,,,Weapon,5,36992,0,,,0,,
481,2,,,Weapon,-3,4097,0,,,0,,
482,2,,,Weapon,4,2.30584E+18,0,,,0,,
483,2,,,Weapon,10,2.74878E+11,,,1,0,,
484,11,,,Weapon,2,8404992,50,,,0,,
485,2,,,Weapon,3,2.7488E+11,0,,,0,,
486,2,,,Weapon,16,2.75012E+11,0,,,0,,
487,104,,,Weapon,6,2.74878E+11,0,,,0,,
488,2,,,Weapon,0,2.75014E+11,0,,,0,,
489,2,,,Weapon,3,2.75014E+11,0,,,0,,
490,2,,,Weapon,-3,2.75014E+11,0,,,0,,
491,2,,,Weapon,-3,2.75014E+11,0,,,0,,
492,2,,,Weapon,12,2.74878E+11,20,,,0,,
493,2,,,Weapon,6,1.09958E+12,0,,,0,,
494,2,,,Weapon,15,1.09965E+12,0,,,0,,
495,2,,,Weapon,2,1.09965E+12,0,,,0,,
