10d6units,The nation that owns the event gains 10d6 units.
blesspoisres,Blessed troops get increased Poison Resistance.
blessprec,Blessed troops get increased Precision skill.
blessreinvig,Blessed troops get increased Reinvigoration like from a bless with the same name. An existing reinvigoration bless is augmented.
blessshockres,Blessed troops get increased Shock Resistance.
blessstr,Blessed troops get increased Strength.
blind,This monster has no eyes and cannot be affected by blindness.
blink,Like #teleport but only in combat.
bloodattuned,Chance of getting a bonus level of magic when transformed into this being.  In place of [path] insert the name of the magic path in all lower case for the correct command (#fireattuned #airattuned etc).
bloodblessbonus,Gods of this nation will get extra bless design points of this type.
bloodboost,One commander determined by target requirements or the monster number may gain +1 Blood magic.
bloodcost,All rituals of the Blood Magic school cast in this province cost
bloodnation,Makes the AI more likely to research blood magic and hunt for blood slaves. Mictlan has this hint.
bloodrange,All Blood rituals cast in this province have their range increased by
bloodvengeance,The monster has the Blood Vengeance ability. Any creature that hits the monster must make a magic resistance check or suffer the same damage that it inflicts on its target. Strength works identically to #damagerev.
blunt,The weapon does blunt damage. Monsters with Blunt Resistance only take half damage.
bluntres,The monster takes half damage from blunt weapons.
boartattoo,Magic tattoo like the units of Marverni and Sauromatia have.
bodyguard,The monsters morale is increased by
bodyguards, Gives bodyguards to the active commander. This command only affects independents. AI nations will ignore this command.
bonus,This is an intrinsic weapon that will not incur a multiple weapon penalty or get replaced when the commander is equipped with a magic weapon item.
bonusspells,The monster gets the Innate Spellcaster ability and can cast a number of spells every combat round in addition to its normal attacks. The spellcasting cannot be interrupted or prevented by adjacent enemy units unlike normal spellcasting. A maximum value of 4 can be used but no unit in the standard game has more than 3.
bossname,Name of the bands leader.
bowstr,Only one third of the weapon wielders strength will be added to the damage. This is normally used for missile weapons like bows.
bravemount,The chance of the mount remaining on the battlefield and continuing to fight. Default is 0
brief,A very brief description for popups.
bringeroffortune,"A bringer of fortune has a percentage chance -100 to 100 to generate a good or bad (based on postitive or negative) random event in the province where it is located. Multiple units with this ability do stack, though the chances for each to generate an event are rolled independently, allowing for many such events to be generated each turn. This ability allows for bypassing the normal random event limit incurred by natural events."
bug,Monsters with this tag are summoned by the Swarm spell on land.
bugreform,This is a combat ability. When killed the monster will turn into a myriad of bugs and reform a little while later. The worm mage has this ability
buildcoastfort,The nation will build this type of fort in coastal provinces instead of the default one for their fortera.
buildfort,The nation will build this type of fort instead of the default one for their fortera.
builduwfort,The nation will build this type of underwater fort instead of the default one for their fortera.
carcasscollector,The monster can turn  These commands grant other uncategorized magic abilities related to spells item forging and other planes of existence.
castledef,Gives a castle defense bonus to the monster. The monster counts as
castleprod,Resource bonus for forts. Middle Era Ulm has 25 in this meaning they get 25% more resources in their fortified provinces than another nation with the same fort. Default is 0.
casttime,Set the casting time of a spell the casting time is 100 for a standard spell. There is usually no need to set this value as Dominions will automatically give certain spells like battle enchantments higher casting time to fit in with all the other spells.
cavecom,This commander can be recruited in cave provinces with or without fort. See the box below for all command names.
cavefortcom,This unit can be recruited in (terrain) provinces with a fort. 
cavefortrec,This unit can be recruited in (terrain) provinces with a fort. 
cavenation,Sets the nations preference for starting in cave provinces.  0 = never start in caves 1 = can start in caves 2 = always start in a cave
caverec,This unit can be recruited in cave provinces with or without fort. See the box below for all command names.
champprize,This item is given as a reward for winning the championship of the Arena deathmatch.
chaospower,The monster will get stat increases or decreases depending on the Turmoil scale.
chaosrec,The monster is cheaper to recruit if there are Turmoil scales in the province. The monster costs [
charge,The weapon will receive a damage bonus on its first attack. This bonus is proportional to the units maximum number of action points.
cheapgod20,Nation can choose this god for 20 design points less.
cheapgod40,Nation can choose this god for 40 design points less.
chestwound,The item bearer suffers a Chest Wound affliction which cannot be healed until the item is removed.
claim,The effects of magic site commands that appear after this command are not active until the throne is claimed by a god a disciple a prophet or a priest with Holy level 3 or higher.
claimthrone,Any throne in the province is claimed by the event owner.
cleanshape,The monster will heal all afflictions and hp if changing shape from secondshape to firstshape. This command must be applied to the monsters firstshape so for a werewolf the human form.
clear,Clears the attributes of the selected magic site.
clearallevents,This command removes all events from the game. You usually dont want to use this command.
clearallitems,All forgeable magic items are removed from the game.
clearallspells,All researchable spells are removed from the game.
cleararmor,Removes all armor from the active monster. Must be used before assigning new armor or armor assignment does not work correctly.
cleardef,Clears province defence units from the poptype.
clearfx,Clear all effects of this bless
cleargods,Clears the list of pretender gods for this nation. The #clearnation command also does this. This command does not clear homerealm but #clearnation does. Homerealm gods must be removed with the #delgod command.
clearmagic, Removes all magic skills from the active commander.
clearmercs,Removes all mercenary bands.
clearnation,Clears away all special settings for the nation like ideal cold reanimating priests underwater nation starting sites heroes pretender god list local defense fort type etc. The list of recruitable units and commanders is not cleared with this command.
clearrec,Clears the recruitment list of all units and commanders.
clearscales,Clear the scale requirements.
clearsites,Clears all start sites for this nation.
clearspec,Removes all special abilities from the active monster. The special abilities are stuff like Holy Fire Resistance Awe etc.
clearweapons,Removes all weapons from the active monster. Must be used before assigning new weapons or the monster will have both old and new weapons.
cluster,Assigns a cluster value to a throne. A throne is likely to appear together with other thrones of same cluster value when a map is created. For example the Throne of Spring and the Throne of Autumn have the same cluster value and if one of them appears on the map the other is also very likely to appear. Cluster value can be a number from 1 to 32000.
coastcom,This commander can be recruited in coast provinces with or without fort. See the box below for all command names.
coastcom1,Add a unit to the list of recruitable commanders for this nation in coastal forts only.
coastcom2,Add a unit to the list of recruitable commanders for this nation in coastal forts only.
coastfortcom,This unit can be recruited in (terrain) provinces with a fort. 
coastfortrec,This unit can be recruited in (terrain) provinces with a fort. 
coastnation,The nations capital is in a coastal land province.
coastrec,This unit can be recruited in coast provinces with or without fort. See the box below for all command names.
coastunit1,Add a unit to the list of recruitable units for this nation in coastal forts only.
coastunit2,Add a unit to the list of recruitable units for this nation in coastal forts only.
coastunit3,Add a unit to the list of recruitable units for this nation in coastal forts only.
code,Sets the event code of the current province (when planned for globals)
code2,Sets the eventcode of the current province (when executed for globals)
codedelay,"Sets the event code of the current province, but not immediately. It will be set after all events have been executed this turn."
codedelay2,"Sets the event code of the current province, but not immediately. It will be set after all events have been executed on the next turn."
cold,This monster is surrounded by cold like a Winter Wolf. The chill aura is
coldblood,Cold blooded like the lizards of Ctis.
coldincome,The effect cold and heat have on income. Default is 5.
coldpower,The monster will get stat increases or decreases depending on the Cold scale.
coldrec,Cold scale requirement for recruitment.
coldres,The item grants a Cold Resistance bonus.
coldsupply,The effect cold and heat has on supplies. Default is 10.
color,Each of the three colors is a number between 0.0 and 1.0. This color is used for the score graphs.
com,The nation that owns the event gains a commander of the specified type.
combatcaster,"A combat caster has a 50% chance to attempt to cast spells over trying to attack in melee. Additionally, they have a halved chance of being interrupted when casting spells, and do not suffer double armor encumbrance for casting spells."
command,Increases leadership value by this amount.  In addition to these commands a monster has magic leadership based on its magic paths (10 per level of Astral and 5 per level of any other magic than Death) These commands govern the level of undead leadership the monster possesses. Additionally undead leadership is increased by 15 points for each priest level if the priest serves a nation that can reanimate undead. The nations that have this benefit are Lanka Asphodel Sceleria Ermor (Ashen Empire) and Lemuria.
commander, Puts one of these commanders in the active province. The commander will have a random name according to its nametype. This commander will be the active commander.
commaster,The monster is automatically a communion master and does not need to cast the Communion Master spell to join a communion like the Trophimos Oppressors.
comname, Replaces the active commanders random name with this one.
computerplayer, This nation will always be controlled by the computer. Difficulty ranges from one to five. One is Easy AI. Two is Standard difficulty
comslave,The monster is automatically a communion slave and does not need to cast the Communion Slave spell to join a communion like the Theurg Communicant of Pythium in the middle era.
conjcost,All rituals of the Conjuration school cast in this province cost
constcost,All rituals of the Construction school cast in this province cost
constlevel,Level of construction required to forge this item. This level can be 02468 or 12 for items that cannot be forged. To disable an item set this value to 12.
copyarmor,Copies all stats from an existing armor. This command will overwrite all stats for the selected armor so it should be used as the first command after the #newarmor command.
copyitem,Copies all stats from an existing item to the current item.
copyspell,Copies all stats including name from the specified spell to the current spell.
copyspr,Copies the sprite of the specified magic item to the current magic item.
copystats,Copies all weapons armors stats magic skills and special abilities from an existing monster. The existing monster can be a monster that has been created previously in the mod. Copystats will overwrite all previous commands for the selected monster so it should be used as the first command after the #newmonster command.
copyweapon,Copies all stats from an existing weapon. This command will overwrite all stats for the selected weapon so it should be used as the first command after the #newweapon command.
coridermnr,Use this to set the type of co-riders if any. Unless there are more than one rider on the same mount there is no need for this command.
corpseeater,The monster will eat this amount of corpses per month if possible and gain HP for it equal to the value in #deadhp.
corpselord,This monster will receive extra units when creating Corpse Men. This ability will not be visible when inspecting the monster.
cost0,The minimum skill required in path0 and also the cost in bless points.
cost1,The minimum skill required in path0 and also the cost in bless points.
crippled,The item bearer becomes Crippled. The affliction cannot be healed until the item is removed.
crossbreeder,The monster is skilled in crossbreeding and gets a bonus when using the Crossbreeding or Improved Crossbreeding ritual from the Blood magic school. The crossbreeder receives more units per casting and a higher chance of extraordinary results.
curse,Every unit in the province has this chance of being cursed.
cursed,The item is cursed and cannot be dropped.
curseluckshield,Grants the Fateweaving ability. Anyone striking the unit will have their fate rewritten and suffer from misfortunes for the next few rounds of battle. The effect can be resisted with a successful Magic Resistance check. The penetration bonus makes the effect harder to resist.
custommagic,Gives a chance for another magic skill to the active monster. The path mask must be a number from Table 18 or a sum of multiple masks from this table.
damage,Set the damage for this spell. Add 1000 to dmg to make the damage be variable with the level of the caster. Damage means damage for damage spells but it can also mean many other things for different spells. E.g. summoning spells use this value to determine which monster is summoned.
damagemon,Use this to set a spells damage to a monster if you dont know its number.
damagerev,The monster has the Damage Reversal ability. Any creature that hits the monster must make a magic resistance check or suffer the damage itself instead of harming the target. Strength must be at least one and strength minus one is the penalty to the MR check. Use strength 1 for standard damage reversal with no penalty.
darkpower,The monster will get stat increases in darkness. Only active in combat.
darkvision,Gives monster darkvision lessening penalties for fighting under darkness. Use value 100 for perfect darkvision.
deadhp,Number of HP gained per corpse eaten.
deathattuned,Chance of getting a bonus level of magic when transformed into this being.  In place of [path] insert the name of the magic path in all lower case for the correct command (#fireattuned #airattuned etc).
deathbanish,Whoever strikes the killing blow against this monster is banished to another plane. -11=The Void -12=The Inferno -13=Kokytos
deathblessbonus,Gods of this nation will get extra bless design points of this type.
deathboost,One commander determined by target requirements or the monster number may gain +1 Death magic.
deathcurse,When this monster dies the unit that strikes the killing blow is cursed.
deathdeath,The effect death and growth has on population death in 0.01% per month. Default is 20.
deathdisease,The monster bursts in a cloud of disease ridden fumes when it dies infecting its killer and anyone nearby with disease.
deathfire,The monster erupts in a fiery explosion when it dies inflicting 10 AP fire damage to everyone in the area of effect.
deathgrab,"The monster erupts in a earth grip explosion when it dies, inflicting earth grip to everyone in the area of effect."
deathincome,The effect death and growth has on income. Default is 2.
deathparalyze,The monster erupts in a paralyzing explosion on death forcing everyone in the area of effect to make a MR check or become paralyzed.
deathpower,The monster will get stat increases or decreases depending on the Death scale.
deathrange,All Death rituals cast in this province have their range increased by
deathrec,The monster is cheaper to recruit if there are Death scales in the province. Works identically to #chaosrec. Growth scales do not affect the price.
deathshock,"The monster erupts in a shock explosion when it dies, inflicting capped 1 AN shock damage to everyone in the area of effect."
deathslime,"The monster erupts in a slime explosion when it dies, inflicting slime (water breathers immune) to everyone in the area of effect."
deathsupply,The effect death and growth has on supplies. Default is 10.
decscale,Decreases the specified scale in the province by one step.
decscale2,Decreases the specified scale in the province by two steps.
decscale3,Decreases the specified scale in the province by three steps.
decunrest,The site decreases unrest in the province. The value can be negative in order to increase unrest.
deepfortcom,This unit can be recruited in (terrain) provinces with a fort. 
deepfortrec,This unit can be recruited in (terrain) provinces with a fort. 
def,The item grants a defense bonus.
defchaos,Sets the default value of the chaos scale for this nation.
defcom1,Sets the secondary commander for this poptypes PD when PD is 20 or higher.
defcom2,Extra commander for fortified provinces with a province defense equal to or greater than 20.
defdeath,Sets the default value of the death scale for this nation.
defdrain,Sets the default value of the drain scale for this nation.
defector,The monster has a chance to become independent if owned by a player. The Unfettered form of the Eater of the Dead uses this mechanic. This command only affects commanders.
defence, Sets the province defence of the active nation. This command cannot be used for independent provinces.
defmisfortune,Sets the default value of the misfortune scale for this nation.
defmult,Number of units per 10 points of defense. Default is 10.
defmult1,Number of units per 10 points of defense. E.g. __#defmult1 20 will yield 2 units per point of defense which is also the default.
defmult1b,Number of units per 10 points of defense for the second unit type.
defmult1c,Number of units per 10 points of defense for the third unit type.
defmult1d,Number of units per 10 points of defense for the fourth unit type. The default value is 10.
defmult2,Number of bonus units per 10 points of defense equal to or greater than 20.
defmult2b,Number of units per 10 points of defense equal to or greater than 20 for the second bonus unit type. The default value is 10.
defsloth,Sets the default value of the sloth scale for this nation.
defunit,Extra units for province defense. This will be in addition to the normal defence.
defunit1,Sets the first type of unit in the poptype PD.
defunit1b,Sets the second type of unit in the poptype PD.
defunit1c,Sets the third type of unit in the poptype PD.
defunit1d,Fourth type of standard unit for local defense. They appear like defunit1. Usually there is no fourth type and this command isnt used.
defunit2,Bonus units for local defense equal to or greater than 20 in provinces with forts only.
defunit2b,Second type of bonus units for local defense equal to or greater than 20 in provinces with forts.
delay,Succeeding event occurs  turns after this event. The succeeding event will not occur normally.
delay25,Succeeding event occurs  +/- 25% turns after this event. The succeeding event will not occur normally.
delay50,Succeeding event occurs  +/- 50% turns after this event. The succeeding event will not occur normally.
delayskip,"Use this command right after a delay command. This is the chance that the next next event will be used instead of the next one, when determining what delayed event to execute. The next next event will not occur normally."
delgod,Deletes a god that is otherwise gained through homerealm use.
demon,This monster is a demon.
demononly,The weapon only causes affects demons.
demonundead,The weapon only affects demons and undead.
descr,A full description of the nation.
description, The description of the map that is shown after selecting a map to play on. Use two newlines to add a new paragraph. Alternatively
deserter,A commander with this attribute has chance of deserting each month.
details,This command is not necessary. If used it will set the yellow spell detail text under the main spell description.
digest,The monster digests any swallowed creatures. Swallowed creatures take
disableoldnations,Disables all old nations (up to number 119)
disease,Every unit in the province has this chance of becoming diseased.
diseasecloud,Monster is surrounded by a disease cloud. Standard size is 6. The disease cloud adds the Plague Carrier icon to the monster.
diseaseres,Protects a unit when diseased. Value is the chance of not being negatively affected by the disease each month.
divineins,There can only be a number of divinely inspired researchers per province equal to the dominion strength in that province. Any extra divinely inspired researchers have their research value ignored. The monks of Man use this mechanic.  These commands cause the monster to produce permanent or temporary magic gems when it is a commander.
djinn,Use this for djinns with a humanoid body but no lower part.
dmg,Sets the damage value of the weapon. A spear has a damage value of 3 and a sword has 6.
doheal,Unit heals normally despite not usually being able to heal.
dom2title, The title of the map. This must be the first command for every map. The reason why this command is named #dom2title instead of #dom5title is because the map command syntax used here was first introduced in Dominions 2: The Ascension Wars and much of it has been kept the same since then.
domdeathsense,Number of unburied corpses will be known where this dominion has influence.
domimmortal,This monster is dominion immortal like a Phoenix.
dominion,The site will spread the gods dominion by automatically initiating a number of temple checks per month.
dominionstr, Sets the dominion strength of a nation to a value between 1 and 10.
domkill,The nations Dominion kills population like Ashen Empire Ermor. Value of 10=1%*Dominion killed every month.
dompower,The monster will get stat increases or decreases depending on the strength of the dominion in the province.
domrec,This monster can only be recruited if the dominion value of the province is at least this high.
domsail,The nations Dominion enables all units to sail like the dark vessels ability of Phaeacia.
domshape,The monster changes to this shape when inside a friendly dominion.
domsummon,Summons a number of monsters each month spent inside friendly dominion. The amount summoned is a dominion strength sided open ended die roll.
domsummon2,Half as effective as #domsummon.
domsummon20,A twentieth as effective as #domsummon.
domunrest,The nations Dominion causes unrest. Unrest increase is equal to value*0.1*dominion per month. Value can be negative for unrest reducing Dominions.
domversion, Set the minimum version of Dominions required to use this map. This number is usually 450 for Dominions 5 maps
domwar,Dominion conflict bonus.
doomhorror,Monsters with this tag are used as doom horrors.
douse,This monster gets a blood magic bonus when searching for blood slaves. Works like a Sanguine Dousing Rod (this item has a bonus of 1).
dragonlord,This monster will receive extra units when summoning Drakes of different kind.
drainimmune,The monster is immune to the effects of Drain scale like the Master Smiths of Ulm. There is no research penalty from Drain scale and in combat the fatigue costs of spells are not increased by the Drain scale. The monster gains all normal bonuses from an increased Magic scale.
drake,The monster is a drake and is affected by the Dragon Master ability.
drawsize,The value indicates how many percent larger size the sprite should be drawn at. A negative value means it will be draw at a smaller size than normal.
dread,Fear but negated by True Sight
dripfortcom,This unit can be recruited in (terrain) provinces with a fort. 
dripfortrec,This unit can be recruited in (terrain) provinces with a fort. 
dt_aff,Sets the damage type of the weapon to a special effect or affliction. The specific affliction the weapon inflicts is set with the #dmg command so the weapons damage value is interpreted as a bitmask value according to the (affliction table)(#afflictions). The table uses bitmask values meaning powers of 2. The numbers are expressed as powers of 2 because numbers after about 2^20 get very big very quickly.
dt_bouncekill,This effect will bounce a few times to nearby targets like a chain lightning. Weapons with this effect should have aoe = 1.
dt_cap,Sets the damage type to capped damage (max 1 HP damage) like a whip or a blowgun.
dt_constructonly,Only inanimate beings are affected by this weapon.
dt_demon,Sets the damage type to anti-demon damage. This means double damage to demons.
dt_drain,The weapon drains life force from its target healing damage and reducing fatigue for the attacker.
dt_holy,Sets the damage type to holy damage. This means triple damage to undead and demons.
dt_interrupt,This damage is not real but it can still interrupt mages casting spells.
dt_large,The weapon does triple damage against creatures larger than the attacker.
dt_magic,The weapon does double damage to magic beings.
dt_normal,Sets the damage type to normal damage. This is the default.
dt_paralyze,Sets the damage type to paralyze. Damage value is NOT directly turns of paralysis. Use 10 for a standard strength paralyze.
dt_poison,Sets the damage delivery mechanism to poison damage. Poison damage is caused over several combat rounds. To make a poisoned weapon do NOT use this command. Use a secondary effect that has both #poison and this command.
dt_raise,If the target is killed by the weapon it is animated as a soulless servant of the attacker.
dt_realstun,Sets the damage type to stun. The damage value for stun weapons should be 100. Stunned units are unable to take any action for about 1 combat round.
